trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1286,False,"{'a': 0.002, 'e': 0.07653554542391151}",20,4,27.173929548723994,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1287,False,"{'a': 0.002, 'e': 0.07638262730215813}",25,16,16.022361943407827,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1288,False,"{'a': 0.002, 'e': 0.07623001471101583}",35,17,18.516009296955275,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1289,False,"{'a': 0.002, 'e': 0.07607770704003398}",20,0,-13.14003075233981,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
1290,False,"{'a': 0.002, 'e': 0.07592570367998178}",20,0,29.014997591469605,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1291,False,"{'a': 0.002, 'e': 0.07577400402284548}",20,0,10.33583491265927,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1292,False,"{'a': 0.002, 'e': 0.07562260746182634}",25,0,26.66584511092807,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1293,False,"{'a': 0.002, 'e': 0.07547151339133784}",30,13,-13.406160678110297,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1294,False,"{'a': 0.002, 'e': 0.07532072120700357}",20,10,19.192922822922036,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1295,False,"{'a': 0.002, 'e': 0.07517023030565453}",20,8,18.56459496264933,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1296,False,"{'a': 0.002, 'e': 0.07502004008532698}",25,0,22.74275161628356,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
1297,False,"{'a': 0.002, 'e': 0.07487014994525974}",20,16,6.591453728958801,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1298,False,"{'a': 0.002, 'e': 0.07472055928589216}",20,7,-18.5685053241228,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
1299,False,"{'a': 0.002, 'e': 0.07457126750886131}",25,17,18.814233779902448,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1300,False,"{'a': 0.002, 'e': 0.07442227401699995}",20,15,11.428625665134575,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1301,False,"{'a': 0.002, 'e': 0.07427357821433388}",30,12,21.64856383986437,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1302,False,"{'a': 0.002, 'e': 0.0741251795060797}",20,13,14.754376388499098,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1303,False,"{'a': 0.002, 'e': 0.07397707729864236}",20,8,23.71476977988479,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1304,False,"{'a': 0.002, 'e': 0.0738292709996129}",20,12,2.8616198746267463,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1305,False,"{'a': 0.002, 'e': 0.07368176001776583}",20,3,30.334159111304015,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1306,False,"{'a': 0.002, 'e': 0.0735345437630571}",30,21,14.871584741267995,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1307,False,"{'a': 0.002, 'e': 0.07338762164662144}",25,19,11.387165818025117,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1308,False,"{'a': 0.002, 'e': 0.07324099308077024}",20,0,-9.546832855020114,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1309,False,"{'a': 0.002, 'e': 0.07309465747898901}",30,0,29.43265564594018,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
1310,False,"{'a': 0.002, 'e': 0.07294861425593517}",20,3,25.54540900232152,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1311,False,"{'a': 0.002, 'e': 0.07280286282743559}",20,2,27.672636699574493,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1312,False,"{'a': 0.002, 'e': 0.07265740261048442}",30,12,30.70910986988407,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1313,False,"{'a': 0.002, 'e': 0.07251223302324053}",20,8,18.350523319538585,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1314,False,"{'a': 0.002, 'e': 0.07236735348502546}",25,11,22.332814700771458,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1315,False,"{'a': 0.002, 'e': 0.07222276341632078}",20,6,13.53170661324149,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1316,False,"{'a': 0.002, 'e': 0.0720784622387661}",20,0,23.52006748732345,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1317,False,"{'a': 0.002, 'e': 0.07193444937515645}",25,16,15.102221346427658,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1318,False,"{'a': 0.002, 'e': 0.07179072424944025}",20,0,27.57246699609298,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1319,False,"{'a': 0.002, 'e': 0.07164728628671672}",20,10,17.28576265664806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1320,False,"{'a': 0.002, 'e': 0.0715041349132339}",30,8,32.27201413366569,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1321,False,"{'a': 0.002, 'e': 0.07136126955638605}",30,20,13.33138024892477,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1322,False,"{'a': 0.002, 'e': 0.0712186896447116}",25,18,11.526391696134816,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1323,False,"{'a': 0.002, 'e': 0.07107639460789066}",20,11,16.24137898406647,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1324,False,"{'a': 0.002, 'e': 0.07093438387674295}",25,4,32.52821428203419,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1325,False,"{'a': 0.002, 'e': 0.0707926568832253}",20,3,29.739489001789394,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1326,False,"{'a': 0.002, 'e': 0.0706512130604296}",20,3,18.567063454733095,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1327,False,"{'a': 0.002, 'e': 0.0705100518425803}",20,9,19.476747479828532,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1328,False,"{'a': 0.002, 'e': 0.07036917266503243}",20,4,31.017303694541884,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1329,False,"{'a': 0.002, 'e': 0.07022857496426901}",20,14,12.893383463747139,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1330,False,"{'a': 0.002, 'e': 0.07008825817789911}",30,19,19.194234834013976,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1331,False,"{'a': 0.002, 'e': 0.06994822174465536}",25,14,18.089691615534278,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1332,False,"{'a': 0.002, 'e': 0.06980846510439187}",20,0,-59.026435551512485,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
1333,False,"{'a': 0.002, 'e': 0.06966898769808184}",25,11,10.537131687928738,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1334,False,"{'a': 0.002, 'e': 0.06952978896781553}",30,22,14.231455071727108,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1335,False,"{'a': 0.002, 'e': 0.06939086835679777}",20,12,10.29913574866322,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1336,False,"{'a': 0.002, 'e': 0.069252225309346}",20,12,16.908437648526487,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1337,False,"{'a': 0.002, 'e': 0.06911385927088774}",20,10,18.045990114077618,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1338,False,"{'a': 0.002, 'e': 0.06897576968795878}",25,15,11.573390542130308,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
